codigosipac;valor;quantidade
3035000000312;100;4400
3035000000498;100;1100
3035000000311;100;2500
3035000000499;100;600
3035000000289;100;4200
3035000000500;100;900
3035000000309;100;2600
3035000000501;100;2200
3035000000310;100;2900
3035000000502;100;1100
3035000000294;100;5000
3035000000503;100;1700
3035000000299;100;2800
3035000000644;100;4400
3035000000504;100;1700
3035000000295;100;3600
3035000000645;100;4400
3035000000296;100;600
3035000000646;100;1100
3035000000859;100;1700
3035000000293;100;1100
3035000000298;100;3500
3035000000648;100;4400
3035000000505;100;1700
3035000000297;100;300
3035000000649;100;1100
3035000000506;100;600
3035000000507;100;600
3035000000277;100;4800
3035000000508;100;600
3035000000287;100;3900
3035000000509;100;2200
3035000000279;100;6800
3035000000861;100;600
3035000000283;100;1200
3035000000510;100;600
3035000000275;100;2800
3035000000301;100;1400
3035000000511;100;2200
3035000000291;100;3300
3035000000862;100;600
3035000000292;100;2300
3035000000512;100;1700
3035000000300;100;3300
3035000000284;100;800
3035000000513;100;600
3035000000276;100;1100
3035000000833;100;600
3035000000288;100;2800
3035000000864;100;600
3035000000272;100;5300
3035000000865;100;600
3035000000280;100;1700
3035000000514;100;2200
3035000000273;100;1900
3035000000281;100;5000
3035000000286;100;3600
3035000000867;100;2200
3035000000278;100;4600
3035000000282;100;1500
3035000000515;100;600
3035000000274;100;1700
3035000000290;100;200
3035000000869;100;200
3035000000163;100;6600
3035000000672;100;3300
3035000000516;100;3400
3035000000165;100;11100
3035000000673;100;1100
3035000000517;100;3400
3035000000164;100;6100
3035000000674;100;1100
3035000000317;100;6600
3035000000519;100;3300
3035000000315;100;3700
3035000000520;100;1900
3035000000318;100;4000
3035000000521;100;3000
3035000000316;100;2100
3035000000522;100;800
3035000000313;100;5200
3035000000523;100;3300
3035000000319;100;2500
3035000000524;100;1100
3035000000321;100;1900
3035000000844;100;800
3035000000320;100;5300
3035000000870;100;3000
3035000000314;100;2400
3035000000525;100;1100
3035000000152;100;10500
3035000000684;100;1100
3035000000526;100;1300
3035000000155;100;17100
3035000000685;100;2200
3035000000527;100;3200
3035000000149;100;9600
3035000000528;100;1100
3035000000156;100;18900
30350000000529;100;3400
3035000000162;100;8000
3035000000688;100;2200
3035000000530;100;1300
3035000000158;100;8100
3035000000531;100;3500
3035000000151;100;3000
3035000000690;100;600
3035000000532;100;600
3035000000143;100;20900
3035000000691;100;1100
3035000000533;100;1900
3035000000144;100;23000
3035000000692;100;1100
3035000000534;100;2800
3035000000154;100;6100
3035000000871;100;1900
3035000000157;100;7700
3035000000535;100;1700
3035000000159;100;1500
3035000000536;100;600
3035000000147;100;3400
3035000000537;100;1100
3035000000161;100;1900
3035000000872;100;600
3035000000145;100;7500
3035000000845;100;800
3035000000153;100;9700
3035000000699;100;2200
